Starting Training Loop...
[12/20][250/434]	Loss_D: 1.2178	Loss_G: 1.6975	D(x): 0.4021	D(G(z)): 0.0244 / 0.2484
[12/20][300/434]	Loss_D: 0.7678	Loss_G: 5.0489	D(x): 0.8766	D(G(z)): 0.4105 / 0.0113
[12/20][350/434]	Loss_D: 0.7229	Loss_G: 4.2390	D(x): 0.8341	D(G(z)): 0.3632 / 0.0247
[12/20][400/434]	Loss_D: 0.8256	Loss_G: 4.7850	D(x): 0.9370	D(G(z)): 0.4691 / 0.0140
[13/20][0/434]	Loss_D: 0.6146	Loss_G: 2.2838	D(x): 0.6643	D(G(z)): 0.0980 / 0.1437
[13/20][50/434]	Loss_D: 0.7562	Loss_G: 5.0942	D(x): 0.8916	D(G(z)): 0.4114 / 0.0109
[13/20][100/434]	Loss_D: 0.5192	Loss_G: 3.2051	D(x): 0.7761	D(G(z)): 0.1653 / 0.0687
[13/20][150/434]	Loss_D: 0.5591	Loss_G: 3.2199	D(x): 0.7924	D(G(z)): 0.2173 / 0.0795
[13/20][200/434]	Loss_D: 0.6000	Loss_G: 3.3958	D(x): 0.6253	D(G(z)): 0.0414 / 0.0637
[13/20][250/434]	Loss_D: 0.5719	Loss_G: 4.0370	D(x): 0.8180	D(G(z)): 0.2628 / 0.0313
[13/20][300/434]	Loss_D: 0.6802	Loss_G: 2.0053	D(x): 0.5997	D(G(z)): 0.0439 / 0.1885
[13/20][350/434]	Loss_D: 0.6293	Loss_G: 2.7803	D(x): 0.6413	D(G(z)): 0.0394 / 0.0901
[13/20][400/434]	Loss_D: 0.7018	Loss_G: 2.4136	D(x): 0.6206	D(G(z)): 0.0684 / 0.1138
[14/20][0/434]	Loss_D: 1.8338	Loss_G: 8.3994	D(x): 0.9785	D(G(z)): 0.7673 / 0.0009
[14/20][50/434]	Loss_D: 0.3761	Loss_G: 3.4211	D(x): 0.8665	D(G(z)): 0.1856 / 0.0480
[14/20][100/434]	Loss_D: 0.8184	Loss_G: 1.9478	D(x): 0.5424	D(G(z)): 0.0253 / 0.2301
[14/20][150/434]	Loss_D: 0.5483	Loss_G: 2.6138	D(x): 0.6638	D(G(z)): 0.0428 / 0.1095
[14/20][200/434]	Loss_D: 0.5421	Loss_G: 4.8341	D(x): 0.9099	D(G(z)): 0.3172 / 0.0130
[14/20][250/434]	Loss_D: 0.4193	Loss_G: 3.9362	D(x): 0.9096	D(G(z)): 0.2468 / 0.0294
[14/20][300/434]	Loss_D: 0.2605	Loss_G: 3.1669	D(x): 0.9027	D(G(z)): 0.1268 / 0.0647
